experiment,temp_C,time_min,MR_best_model,MR_unified_midilli,Deff_1_m2s,Deff_2_m2s,Ea_1_kJmol,Ea_2_kJmol,drying_time_total_min,slice_mm,DR_per_min
T35,35,66.0,0.403047,0.403874,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.006254000000000037
T35,35,67.0,0.396854,0.397814,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.006193000000000004
T35,35,68.0,0.390722,0.391813,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.006131999999999971
T35,35,69.0,0.384651,0.38587,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.006070999999999993
T35,35,70.0,0.378639,0.379986,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.006012000000000017
T35,35,71.0,0.372686,0.374159,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.005952999999999986
T35,35,72.0,0.366793,0.368388,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.005893000000000037
T35,35,73.0,0.360957,0.362673,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.005836000000000008
T35,35,74.0,0.355179,0.357014,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.00577799999999995
T35,35,75.0,0.349457,0.351409,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.005722000000000005
T35,35,76.0,0.343792,0.345857,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.005665000000000031
T35,35,77.0,0.338183,0.340359,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.005608999999999975
T35,35,78.0,0.332629,0.334914,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.005554000000000003
T35,35,79.0,0.32713,0.32952,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.005499000000000032
T35,35,80.0,0.321685,0.324178,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.005444999999999978
T35,35,81.0,0.316294,0.318886,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.005390999999999979
T35,35,82.0,0.310955,0.313644,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.005339000000000038
T35,35,83.0,0.30567,0.308452,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.005284999999999984
T35,35,84.0,0.300436,0.303309,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.005234000000000016
T35,35,85.0,0.295254,0.298214,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.005181999999999964
T35,35,86.0,0.290123,0.293167,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.005130999999999997
T35,35,87.0,0.285042,0.288166,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.005081000000000002
T35,35,88.0,0.280012,0.283213,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0050300000000000344
T35,35,89.0,0.275031,0.278305,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.004980999999999958
T35,35,90.0,0.270099,0.273443,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0049320000000000475
T35,35,91.0,0.265216,0.268625,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.004882999999999971
T35,35,92.0,0.260381,0.263852,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.004835000000000034
T35,35,93.0,0.255594,0.259123,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.004786999999999986
T35,35,94.0,0.250853,0.254437,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.004740999999999995
T35,35,95.0,0.24616,0.249794,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.004693000000000003
T35,35,96.0,0.241512,0.245194,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0046479999999999855
T35,35,97.0,0.236911,0.240635,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.004600999999999994
T35,35,98.0,0.232354,0.236117,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0045570000000000055
T35,35,99.0,0.227843,0.231641,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.004511000000000015
T35,35,100.0,0.223376,0.227204,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.004466999999999999
T35,35,101.0,0.218953,0.222808,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0044229999999999825
T35,35,102.0,0.214574,0.218451,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.004379000000000022
T35,35,103.0,0.210238,0.214133,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.004335999999999979
T35,35,104.0,0.205944,0.209853,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.00429400000000002
T35,35,105.0,0.201693,0.205612,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.004250999999999977
T35,35,106.0,0.197484,0.201408,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.004209000000000018
T35,35,107.0,0.193316,0.197241,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.004168000000000005
T35,35,108.0,0.189189,0.193111,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.004126999999999992
T35,35,109.0,0.185103,0.189017,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.004086000000000006
T35,35,110.0,0.181057,0.184959,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.004045999999999994
T35,35,111.0,0.177051,0.180937,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0040060000000000096
T35,35,112.0,0.173084,0.176949,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.003966999999999998
T35,35,113.0,0.169157,0.172997,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.003926999999999986
T35,35,114.0,0.165268,0.169078,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0038890000000000036
T35,35,115.0,0.161417,0.165193,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0038509999999999933
T35,35,116.0,0.157605,0.161342,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.00381200000000001
T35,35,117.0,0.15383,0.157524,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0037750000000000006
T35,35,118.0,0.150092,0.153738,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0037379999999999913
T35,35,119.0,0.146391,0.149985,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.00370100000000001
T35,35,120.0,0.142726,0.146264,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0036650000000000016
T35,35,121.0,0.139098,0.142574,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0036279999999999923
T35,35,122.0,0.135505,0.138916,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.003593000000000013
T35,35,123.0,0.131948,0.135288,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.003556999999999977
T35,35,124.0,0.128426,0.131691,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0035219999999999974
T35,35,125.0,0.124938,0.128123,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.003488000000000019
T35,35,126.0,0.121485,0.124586,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0034529999999999977
T35,35,127.0,0.118066,0.121078,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0034189999999999915
T35,35,128.0,0.11468,0.117599,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.003386
T35,35,129.0,0.111328,0.114149,6.17e-09,1.611e-08,31.26,17.75,170,2.0,0.0033520000000000078
