ID,m/z,rt(s),Name,adduct,HMDB,KEGG,SuperClass,Class,SubClass,HT_1,HT_2,HT_3,HT_4,HT_5,LT_1,LT_2,LT_3,LT_4,LT_5,MT_1,MT_2,MT_3,MT_4,MT_5,QC_1,QC_2,QC_3,HT_mean,MT_mean,LT_mean,QC_mean,log2FC_HT_vs_LT,log2FC_MT_vs_LT,log2FC_HT_vs_MT,p_HT_vs_LT,p_MT_vs_LT,p_HT_vs_MT
M421T226,421.0999,226.4,14-o-acetyldaunomycinone,[M+H-2H2O]+,,,Benzenoids,Naphthacenes,Tetracenequinones,2005.61685239367,2116.68501326585,2098.5336739002,2016.74163053114,1727.97322681301,4032.04557366235,5351.19108972413,5989.1571400623,9146.3597318896,4485.89724917122,1960.37172695114,2270.51846268984,1831.43644526586,1492.08567300459,1384.68937959869,2820.38477455074,2726.44627506519,2820.56491302036,1993.1100793807739,1787.820337502024,5800.93015690192,2789.13198754543,-1.540787876651674,-1.6975244328986911,0.15673655624701688,0.0029683033863545085,0.002354032606967336,0.2743391020182869
M735T276,735.39959,276.13,17-phenyltrinorprostaglandin a2,[2M-H]-,,,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,831.335404198694,1313.12155387258,1095.67755542126,866.91022102742,989.019716286859,22838.6174935122,19118.6258871753,20716.3085624667,19611.1836763952,22161.4779658986,990.394008440646,1136.53614699523,929.036243495203,1316.4590498341,983.638845351274,7447.78773739892,7449.35978223589,7338.77740029306,1019.2128901613626,1071.2128588232904,20889.242717089604,7411.97497330929,-4.355887115513483,-4.284166007349721,-0.07172110816376225,3.2067735291688997e-09,3.2084887281130102e-09,0.6545510375232335
M674T199,674.41654,199.0525,1-hexadecyl-2-azelaoyl-sn-glycero-3-phosphocholine,[M+Na]+,,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,21716.9151251963,24838.8978531144,20231.8446840327,19097.8290077873,22090.1747629166,48699.4176673044,40001.4168878155,47720.5104563425,41508.4581449184,41365.7445169736,23642.2465251291,23765.2383182938,23712.0870576866,21931.7895015551,21953.292203769,28442.7722351613,29260.7974338054,29265.8480962646,21595.13228660946,23000.93072128672,43859.109534670875,28989.80592174377,-1.0221364558290469,-0.9311544526891955,-0.09098200313985146,4.5256016438598024e-06,3.491606453316195e-06,0.22274327603702573
M482T130,482.35947,130.3315,1-hexadecyl-sn-glycero-3-phosphocholine,[M+H]+,,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphocholines,812.196148497146,5917.96240261297,4359.55312452671,4003.26613104784,3867.28209076192,7697.01015265028,10172.4259233429,10276.8574820445,9901.14188502174,7063.40720583041,5313.8752062979,5650.71570612213,6422.79112473677,4554.66530919768,4826.60590187952,5771.88105874151,5836.5505798211,5921.88296051207,3792.0519794893175,5353.7306496468,9022.168529777966,5843.438199691559,-1.250274989600948,-0.7528201246271913,-0.4974548649737566,0.0012344843610466892,0.0012614611084598344,0.11816646522334329
M341T300,341.14239,300.2395,"1h-indazole-1-pentanoic acid, 3-[[[1-(aminocarbonyl)-2-methylpropyl]amino]carbonyl]-",[M-H-H2O]-,,,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",7766.38932273306,11819.3311899589,8436.98100512504,7678.73506835901,11952.3469212158,12533.9656977594,13544.548695009,12252.4509091054,14250.041046107,14718.7664155537,4274.70142950687,4812.74632188166,9888.56816769504,3359.81694275865,3818.33511099802,12024.9654857057,12008.0961302746,12969.9410507666,9530.756701478364,5230.833594568048,13459.954552706902,12334.334222248966,-0.4979666867299293,-1.3633921591423304,0.8654254724124012,0.006639888836717138,0.00020368545821366577,0.023148656043872725
M223T255,223.14294,254.992,1-methyl-3-isobutylxanthine,[M+H]+,,C13708,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,20034.4605971917,21170.2160172719,21206.65017188,17228.1062283329,22203.3045708991,6019.8920018859,5797.78540935889,7598.0897431058,5859.44818734825,7849.69608450132,12188.2410933421,9287.24604544677,10078.8004872442,9903.05460968758,9033.03393850892,9631.73212202018,9370.95884177505,9634.32676320765,20368.54751711512,10098.075234845914,6624.982285240032,9545.672575667626,1.6202076816255369,0.6080169410150509,1.0121907406104862,5.930363894434922e-07,0.001281897243738535,8.173777954921316e-06
M110T211,110.03387,210.7845,1-methylxanthine,[M+H-C2H3ON]+,HMDB0010738,C16358,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives,6111.33644050252,7096.8409174103,7234.53984810802,6778.75645689477,6938.24183151146,3442.66063720553,3044.46321104148,3664.79141024191,3457.70672654655,3023.56107309155,3552.35621509204,3019.57773073323,2378.60460933672,2655.71259158037,2771.26025257817,4288.76399372663,4276.2222926136,4355.8694675183,6831.943098885415,2875.502279864106,3326.636611625404,4306.951917952843,1.038009217617113,-0.2101822815719482,1.248191499189061,3.717511574151178e-07,0.09078049436488281,5.860248641633243e-07
M599T206,599.31365,205.756,1-octadecanoyl-sn-glycero-3-phospho-(1'-myo-inositol),[M-H]-,,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoinositols,60962.4892840105,77080.7297911696,60595.1582526041,59629.1843992929,68409.1374338518,179155.331193298,141902.468482376,160159.690633773,148713.809903007,157019.188247394,117477.896784614,144379.086259787,126305.72732647,112486.453233492,121999.940811377,118654.468479301,119152.24092424,118656.427951393,65335.33983218578,124529.820883148,157390.09769196963,118821.045784978,-1.2683964000683838,-0.337851094095097,-0.9305453059732868,1.2322279985033143e-06,0.004328673072826097,1.5200209994436577e-05
M415T468,415.22676,468.349,"1-piperazineacetic acid, 4-(phenylmethyl)-, 2-[[2-hydroxy-3-(2-propen-1-yl)phenyl]methylene]hydrazide",[M+Na]+,,,Organoheterocyclic compounds,Diazinanes,Piperazines,9895.16999791525,12637.7479758949,11159.9061101165,11238.3130342186,11749.1584884825,5160.06900676605,4491.75734950664,4345.54474492587,5093.32985941389,5236.09416630784,4887.80366502402,4847.68958455467,4376.54403242499,4211.3624427049,5676.58286937719,5920.43687323615,5960.47089476452,6238.08544344421,11336.05912132555,4799.996518817154,4865.3590253840575,6039.664403814961,1.2201317808912062,-0.019508872014475865,1.239640652905682,9.240977643627729e-07,0.8410302972525063,1.3788349536505915e-06
M964T74,963.63874,74.489,1-stearoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine,[2M+H]+,HMDB0011130,,Lipids and lipid-like molecules,Glycerophospholipids,Glycerophosphoethanolamines,13100.574824267,11372.9069402155,11370.9102443483,10056.8993041045,13588.7328738713,372.051645922866,251.7520835204,546.495464056877,371.432378004635,160.393118016325,3691.87799650515,3830.01624193807,3538.02527495217,2475.29315260738,2779.12890172436,6531.55785980283,6531.75572248629,6787.15303077847,11898.004837361319,3262.8683135454257,340.4249379042206,6616.8222043558635,5.123128672224313,3.256942507707464,1.8661861645168492,9.699671997225882e-08,5.48719414577265e-06,1.659168605437591e-06
